model,language,total_programs,total_findings,findings_per_program
deepseek,Python,971,17829,18.361
deepseek,C,255,3425,13.431
chatgpt,C,649,6034,9.297
copilot,C,564,3355,5.949
gpt4,C,572,3137,5.484
gemini,Python,957,2174,2.272
chatgpt,Python,902,1712,1.898
deepseek,JavaScript,52,97,1.865
gpt4,Python,421,762,1.81
chatgpt,JavaScript,723,1289,1.783
gemini,JavaScript,859,1287,1.498
copilot,Python,763,1142,1.497
gemini,C,135,151,1.119
copilot,JavaScript,929,928,0.999
gemini-flash,C,37,36,0.973
deepseek-coder,C,80,56,0.7
gpt4,JavaScript,204,129,0.632
